Date,FUTY
2013-01-02,
2013-01-03,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-11,
2013-02-12,
2013-02-13,
2013-02-14,
2013-02-15,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-29,
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-05,
2013-07-08,
2013-07-09,
2013-07-10,
2013-07-11,
2013-07-12,
2013-07-15,
2013-07-16,
2013-07-17,
2013-07-18,
2013-07-19,
2013-07-22,
2013-07-23,
2013-07-24,
2013-07-25,
2013-07-26,
2013-07-29,
2013-07-30,
2013-07-31,
2013-08-01,
2013-08-02,
2013-08-05,
2013-08-06,
2013-08-07,
2013-08-08,
2013-08-09,
2013-08-12,
2013-08-13,
2013-08-14,
2013-08-15,
2013-08-16,
2013-08-19,
2013-08-20,
2013-08-21,
2013-08-22,
2013-08-23,
2013-08-26,
2013-08-27,
2013-08-28,
2013-08-29,
2013-08-30,
2013-09-03,
2013-09-04,
2013-09-05,
2013-09-06,
2013-09-09,
2013-09-10,
2013-09-11,
2013-09-12,
2013-09-13,
2013-09-16,
2013-09-17,
2013-09-18,
2013-09-19,
2013-09-20,
2013-09-23,
2013-09-24,
2013-09-25,
2013-09-26,
2013-09-27,
2013-09-30,
2013-10-01,
2013-10-02,
2013-10-03,
2013-10-04,
2013-10-07,
2013-10-08,
2013-10-09,
2013-10-10,
2013-10-11,
2013-10-14,
2013-10-15,
2013-10-16,
2013-10-17,
2013-10-18,
2013-10-21,
2013-10-22,
2013-10-23,
2013-10-24,18.9792537689209
2013-10-25,19.17475700378418
2013-10-28,19.15972137451172
2013-10-29,19.19731903076172
2013-10-30,19.092041015625
2013-10-31,19.016857147216797
2013-11-01,19.129640579223633
2013-11-04,19.182273864746094
2013-11-05,19.0544490814209
2013-11-06,19.287555694580078
2013-11-07,19.084522247314453
2013-11-08,19.061967849731445
2013-11-11,19.092041015625
2013-11-12,18.926612854003906
2013-11-13,18.934133529663086
2013-11-14,19.137161254882812
2013-11-15,19.2424373626709
2013-11-18,19.212358474731445
2013-11-19,19.092041015625
2013-11-20,18.889015197753906
2013-11-21,18.98676872253418
2013-11-22,18.94165802001953
2013-11-25,18.858943939208984
2013-11-26,18.685989379882812
2013-11-27,18.640871047973633
2013-11-29,18.633350372314453
2013-12-02,18.550640106201172
2013-12-03,18.640871047973633
2013-12-04,18.708547592163086
2013-12-05,18.573198318481445
2013-12-06,18.776220321655273
2013-12-09,18.685989379882812
2013-12-10,18.535598754882812
2013-12-11,18.347612380981445
2013-12-12,18.445371627807617
2013-12-13,18.43033218383789
2013-12-16,18.535598754882812
2013-12-17,18.505523681640625
2013-12-18,18.69350814819336
2013-12-19,18.603275299072266
2013-12-20,18.734493255615234
2013-12-23,18.734493255615234
2013-12-24,18.78758430480957
2013-12-26,18.74207878112793
2013-12-27,18.772422790527344
2013-12-30,18.817928314208984
2013-12-31,18.871017456054688
2014-01-02,18.582794189453125
2014-01-03,18.529705047607422
2014-01-06,18.544878005981445
2014-01-07,18.681394577026367
2014-01-08,18.60555648803711
2014-01-09,18.704151153564453
2014-01-10,18.931699752807617
2014-01-13,18.76483154296875
2014-01-14,18.78758430480957
2014-01-15,18.75724983215332
2014-01-16,18.878602981567383
2014-01-17,18.863433837890625
2014-01-21,19.0758113861084
2014-01-22,19.121320724487305
2014-01-23,19.068227767944336
2014-01-24,18.886186599731445
2014-01-27,18.886186599731445
2014-01-28,18.924116134643555
2014-01-29,18.924116134643555
2014-01-30,19.242673873901367
2014-01-31,19.36403465270996
2014-02-03,19.182004928588867
2014-02-04,19.053054809570312
2014-02-05,18.984792709350586
2014-02-06,19.09097671508789
2014-02-07,19.23509407043457
2014-02-10,19.333696365356445
2014-02-11,19.546064376831055
2014-02-12,19.55365753173828
2014-02-13,19.781200408935547
2014-02-14,19.917726516723633
2014-02-18,19.985986709594727
2014-02-19,19.84187889099121
2014-02-20,20.016324996948242
2014-02-21,20.069425582885742
2014-02-24,19.985986709594727
2014-02-25,19.96323013305664
2014-02-26,19.917726516723633
2014-02-27,19.834287643432617
2014-02-28,20.008739471435547
2014-03-03,19.8039493560791
2014-03-04,19.993576049804688
2014-03-05,19.8570499420166
2014-03-06,19.728103637695312
2014-03-07,19.750858306884766
2014-03-10,19.74327850341797
2014-03-11,19.690176010131836
2014-03-12,19.910140991210938
2014-03-13,20.122512817382812
2014-03-14,20.236282348632812
2014-03-17,20.357643127441406
2014-03-18,20.350067138671875
2014-03-19,20.061830520629883
2014-03-20,20.039079666137695
2014-03-21,20.224824905395508
2014-03-24,20.255395889282227
2014-03-25,20.339473724365234
2014-03-26,20.240108489990234
2014-03-27,20.3776912689209
2014-03-28,20.41590690612793
2014-03-31,20.63756561279297
2014-04-01,20.515275955200195
2014-04-02,20.492345809936523
2014-04-03,20.561134338378906
2014-04-04,20.64521598815918
2014-04-07,20.591712951660156
2014-04-08,20.85158920288086
2014-04-09,20.80573081970215
2014-04-10,20.75222396850586
2014-04-11,20.683429718017578
2014-04-14,20.821014404296875
2014-04-15,21.08089828491211
2014-04-16,21.233766555786133
2014-04-17,21.01210594177246
2014-04-21,20.99681854248047
2014-04-22,21.027389526367188
2014-04-23,21.0350341796875
2014-04-24,21.164979934692383
2014-04-25,21.378990173339844
2014-04-28,21.501291275024414
2014-04-29,21.386638641357422
2014-04-30,21.440143585205078
2014-05-01,21.508935928344727
2014-05-02,21.149688720703125
2014-05-05,21.264347076416016
2014-05-06,21.180259704589844
2014-05-07,21.51658058166504
2014-05-08,21.287275314331055
2014-05-09,21.01210594177246
2014-05-12,20.8363037109375
2014-05-13,20.874521255493164
2014-05-14,20.96624755859375
2014-05-15,20.882160186767578
2014-05-16,20.96624755859375
2014-05-19,20.66814422607422
2014-05-20,20.66814422607422
2014-05-21,20.66814422607422
2014-05-22,20.8363037109375
2014-05-23,20.821014404296875
2014-05-27,20.96624755859375
2014-05-28,21.103830337524414
