Date,AAPL
2013-01-02,16.837116241455078
2013-01-03,16.624601364135742
2013-01-04,16.16152572631836
2013-01-07,16.06645393371582
2013-01-08,16.10969352722168
2013-01-09,15.857918739318848
2013-01-10,16.05449867248535
2013-01-11,15.9560546875
2013-01-14,15.38718318939209
2013-01-15,14.90172290802002
2013-01-16,15.520275115966797
2013-01-17,15.415700912475586
2013-01-18,15.333512306213379
2013-01-22,15.479795455932617
2013-01-23,15.763154029846191
2013-01-24,13.815494537353516
2013-01-25,13.4898099899292
2013-01-28,13.794944763183594
2013-01-29,14.053778648376465
2013-01-30,14.00961685180664
2013-01-31,13.968524932861328
2013-02-01,13.911175727844238
2013-02-04,13.564637184143066
2013-02-05,14.0405912399292
2013-02-06,14.025568008422852
2013-02-07,14.442598342895508
2013-02-08,14.651117324829102
2013-02-11,14.803803443908691
2013-02-12,14.43272876739502
2013-02-13,14.405277252197266
2013-02-14,14.392325401306152
2013-02-15,14.19398307800293
2013-02-19,14.188735008239746
2013-02-20,13.84511661529541
2013-02-21,13.759056091308594
2013-02-22,13.905571937561035
2013-02-25,13.658499717712402
2013-02-26,13.848819732666016
2013-02-27,13.713096618652344
2013-02-28,13.615318298339844
2013-03-01,13.27817153930664
2013-03-04,12.956761360168457
2013-03-05,13.29883861541748
2013-03-06,13.129801750183105
2013-03-07,13.28156566619873
2013-03-08,13.316728591918945
2013-03-11,13.506427764892578
2013-03-12,13.215246200561523
2013-03-13,13.212776184082031
2013-03-14,13.34079360961914
2013-03-15,13.685029029846191
2013-03-18,14.057027816772461
2013-03-19,14.019088745117188
2013-03-20,13.944747924804688
2013-03-21,13.964799880981445
2013-03-22,14.247963905334473
2013-03-25,14.29947566986084
2013-03-26,14.224212646484375
2013-03-27,13.944747924804688
2013-03-28,13.654181480407715
2013-04-01,13.23005199432373
2013-04-02,13.257198333740234
2013-04-03,13.325058937072754
2013-04-04,13.193346977233887
2013-04-05,13.053924560546875
2013-04-08,13.146770477294922
2013-04-09,13.17051887512207
2013-04-10,13.439184188842773
2013-04-11,13.397241592407227
2013-04-12,13.257505416870117
2013-04-15,12.950592041015625
2013-04-16,13.147693634033203
2013-04-17,12.424668312072754
2013-04-18,12.093079566955566
2013-04-19,12.04619312286377
2013-04-22,12.297276496887207
2013-04-23,12.527386665344238
2013-04-24,12.506721496582031
2013-04-25,12.596787452697754
2013-04-26,12.868850708007812
2013-04-29,13.267375946044922
2013-04-30,13.657882690429688
2013-05-01,13.550230979919434
2013-05-02,13.74239730834961
2013-05-03,13.879974365234375
2013-05-06,14.21095085144043
2013-05-07,14.147713661193848
2013-05-08,14.307498931884766
2013-05-09,14.182674407958984
2013-05-10,14.06468677520752
2013-05-13,14.11963939666748
2013-05-14,13.781819343566895
2013-05-15,13.31576156616211
2013-05-16,13.49367618560791
2013-05-17,13.452691078186035
2013-05-20,13.752943992614746
2013-05-21,13.651409149169922
2013-05-22,13.70388412475586
2013-05-23,13.728413581848145
2013-05-24,13.821874618530273
2013-05-28,13.706680297851562
2013-05-29,13.815662384033203
2013-05-30,14.021524429321289
2013-05-31,13.964085578918457
2013-06-03,13.994824409484863
2013-06-04,13.951042175292969
2013-06-05,13.820632934570312
2013-06-06,13.614151000976562
2013-06-07,13.718169212341309
2013-06-10,13.627497673034668
2013-06-11,13.587447166442871
2013-06-12,13.41946792602539
2013-06-13,13.53652572631836
2013-06-14,13.353020668029785
2013-06-17,13.413570404052734
2013-06-18,13.406425476074219
2013-06-19,13.134117126464844
2013-06-20,12.942851066589355
2013-06-21,12.839141845703125
2013-06-24,12.498835563659668
2013-06-25,12.501632690429688
2013-06-26,12.360047340393066
2013-06-27,12.22684097290039
2013-06-28,12.312228202819824
2013-07-01,12.706253051757812
2013-07-02,12.994083404541016
2013-07-03,13.065811157226562
2013-07-05,12.960858345031738
2013-07-08,12.88726806640625
2013-07-09,13.113937377929688
2013-07-10,13.063634872436523
2013-07-11,13.267326354980469
2013-07-12,13.24310302734375
2013-07-15,13.271980285644531
2013-07-16,13.357675552368164
2013-07-17,13.361093521118164
2013-07-18,13.406116485595703
2013-07-19,13.19466781616211
2013-07-22,13.236894607543945
2013-07-23,13.009610176086426
2013-07-24,13.677804946899414
2013-07-25,13.61539077758789
2013-07-26,13.692706108093262
2013-07-29,13.903848648071289
2013-07-30,14.07555103302002
2013-07-31,14.051020622253418
2013-08-01,14.179880142211914
2013-08-02,14.361833572387695
2013-08-05,14.576384544372559
2013-08-06,14.445977210998535
2013-08-07,14.437594413757324
2013-08-08,14.408841133117676
2013-08-09,14.20380687713623
2013-08-12,14.60731029510498
2013-08-13,15.301482200622559
2013-08-14,15.580586433410645
2013-08-15,15.562146186828613
2013-08-16,15.700296401977539
2013-08-19,15.869390487670898
2013-08-20,15.660914421081543
2013-08-21,15.701231002807617
2013-08-22,15.719985008239746
2013-08-23,15.659351348876953
2013-08-26,15.720300674438477
2013-08-27,15.27084732055664
2013-08-28,15.343050956726074
2013-08-29,15.368054389953613
2013-08-30,15.22803020477295
2013-09-03,15.270541191101074
2013-09-04,15.58652400970459
2013-09-05,15.479634284973145
2013-09-06,15.571836471557617
2013-09-09,15.82030963897705
2013-09-10,15.459949493408203
2013-09-11,14.61824893951416
2013-09-12,14.773898124694824
2013-09-13,14.530424118041992
2013-09-16,14.068471908569336
2013-09-17,14.230996131896973
2013-09-18,14.523548126220703
2013-09-19,14.76170539855957
2013-09-20,14.608867645263672
2013-09-23,15.334925651550293
2013-09-24,15.286792755126953
2013-09-25,15.050191879272461
2013-09-26,15.196776390075684
