Date,XLU
2013-01-02,25.20585060119629
2013-01-03,25.20585060119629
2013-01-04,25.33344078063965
2013-01-07,25.08535385131836
2013-01-08,25.00737953186035
2013-01-09,24.9577579498291
2013-01-10,25.064090728759766
2013-01-11,25.092443466186523
2013-01-14,25.042829513549805
2013-01-15,25.113710403442383
2013-01-16,24.99320411682129
2013-01-17,25.092443466186523
2013-01-18,25.290908813476562
2013-01-22,25.503557205200195
2013-01-23,25.43976402282715
2013-01-24,25.553178787231445
2013-01-25,25.68076515197754
2013-01-28,25.666589736938477
2013-01-29,25.843791961669922
2013-01-30,25.86505699157715
2013-01-31,25.928857803344727
2013-02-01,25.999736785888672
2013-02-04,25.82253074645996
2013-02-05,25.893407821655273
2013-02-06,25.971385955810547
2013-02-07,26.006820678710938
2013-02-08,26.006820678710938
2013-02-11,26.070619583129883
2013-02-12,26.184030532836914
2013-02-13,26.184030532836914
2013-02-14,25.971385955810547
2013-02-15,26.028100967407227
2013-02-19,26.254919052124023
2013-02-20,26.205293655395508
2013-02-21,26.091886520385742
2013-02-22,26.354150772094727
2013-02-25,26.120241165161133
2013-02-26,26.198205947875977
2013-02-27,26.43920135498047
2013-02-28,26.531360626220703
2013-03-01,26.580974578857422
2013-03-04,26.850330352783203
2013-03-05,26.992090225219727
2013-03-06,26.977922439575195
2013-03-07,26.857418060302734
2013-03-08,26.91412925720215
2013-03-11,26.977922439575195
2013-03-12,26.907033920288086
2013-03-13,27.02754783630371
2013-03-14,27.08423614501953
2013-03-15,27.262277603149414
2013-03-18,27.112123489379883
2013-03-19,27.18362045288086
2013-03-20,27.383825302124023
2013-03-21,27.247974395751953
2013-03-22,27.290870666503906
2013-03-25,27.23367691040039
2013-03-26,27.491069793701172
2013-03-27,27.619762420654297
2013-03-28,27.955808639526367
2013-04-01,27.89145278930664
2013-04-02,27.984405517578125
2013-04-03,27.905759811401367
2013-04-04,28.170303344726562
2013-04-05,28.291847229003906
2013-04-08,28.506343841552734
2013-04-09,28.420547485351562
2013-04-10,28.649335861206055
2013-04-11,28.71367835998535
2013-04-12,28.83523941040039
2013-04-15,28.420547485351562
2013-04-16,28.763734817504883
2013-04-17,28.59928321838379
2013-04-18,28.692235946655273
2013-04-19,29.121234893798828
2013-04-22,29.085481643676758
2013-04-23,29.1569766998291
2013-04-24,29.249916076660156
2013-04-25,29.25706672668457
2013-04-26,29.299970626831055
2013-04-29,29.543062210083008
2013-04-30,29.621715545654297
2013-05-01,29.32856559753418
2013-05-02,29.292823791503906
2013-05-03,29.235628128051758
2013-05-06,28.828075408935547
2013-05-07,29.106922149658203
2013-05-08,28.84952735900879
2013-05-09,28.413389205932617
2013-05-10,28.477737426757812
2013-05-13,28.327592849731445
2013-05-14,28.520645141601562
2013-05-15,28.792327880859375
2013-05-16,28.556392669677734
2013-05-17,28.828075408935547
2013-05-20,28.685077667236328
2013-05-21,28.742286682128906
2013-05-22,28.25609588623047
2013-05-23,28.06305694580078
2013-05-24,27.76276206970215
2013-05-28,27.441022872924805
2013-05-29,27.033470153808594
2013-05-30,27.1049747467041
2013-05-31,26.940528869628906
2013-06-03,26.99773406982422
2013-06-04,26.904781341552734
2013-06-05,26.668834686279297
2013-06-06,26.983430862426758
2013-06-07,27.14787483215332
2013-06-10,27.140716552734375
2013-06-11,26.961984634399414
2013-06-12,26.697433471679688
2013-06-13,27.13357925415039
2013-06-14,27.16932487487793
2013-06-17,27.2551212310791
2013-06-18,27.441022872924805
2013-06-19,26.81183624267578
2013-06-20,26.05394744873047
2013-06-21,26.39417839050293
2013-06-24,26.37250328063965
2013-06-25,26.719223022460938
2013-06-26,27.058719635009766
2013-06-27,27.116518020629883
2013-06-28,27.1815242767334
2013-07-01,26.84202766418457
2013-07-02,26.83480453491211
2013-07-03,26.733671188354492
2013-07-05,26.65421485900879
2013-07-08,27.03705596923828
2013-07-09,27.23208236694336
2013-07-10,27.383777618408203
2013-07-11,27.82440185546875
2013-07-12,27.911081314086914
2013-07-15,28.366151809692383
2013-07-16,28.214462280273438
2013-07-17,28.20001220703125
2013-07-18,28.445613861083984
2013-07-19,28.45282554626465
2013-07-22,28.423931121826172
2013-07-23,28.496171951293945
2013-07-24,28.06276512145996
2013-07-25,28.322811126708984
2013-07-26,28.423931121826172
2013-07-29,28.474504470825195
2013-07-30,28.56841468811035
2013-07-31,28.358932495117188
2013-08-01,28.59729766845703
2013-08-02,28.561182022094727
2013-08-05,28.373376846313477
2013-08-06,28.228910446166992
2013-08-07,28.358932495117188
2013-08-08,28.46728515625
2013-08-09,28.272249221801758
2013-08-12,28.12055778503418
2013-08-13,27.9688663482666
2013-08-14,27.78829002380371
2013-08-15,27.434337615966797
2013-08-16,27.116518020629883
2013-08-19,26.885366439819336
2013-08-20,27.138179779052734
2013-08-21,26.827573776245117
2013-08-22,26.979263305664062
2013-08-23,27.203184127807617
2013-08-26,27.00094223022461
2013-08-27,26.986494064331055
2013-08-28,27.08038902282715
2013-08-29,26.92147445678711
2013-08-30,26.943140029907227
2013-09-03,26.632543563842773
2013-09-04,26.632543563842773
2013-09-05,26.524188995361328
2013-09-06,26.71200180053711
2013-09-09,26.805904388427734
2013-09-10,27.0153865814209
2013-09-11,26.748111724853516
2013-09-12,26.675878524780273
2013-09-13,26.878131866455078
2013-09-16,26.95037269592285
2013-09-17,27.10927391052246
2013-09-18,27.91830062866211
2013-09-19,27.78829002380371
2013-09-20,27.368947982788086
2013-09-23,27.69712257385254
2013-09-24,27.68253517150879
2013-09-25,27.492931365966797
2013-09-26,27.456472396850586
