Date,RYU
2013-01-02,43.68699645996094
2013-01-03,43.71658706665039
2013-01-04,44.0125732421875
2013-01-07,43.664794921875
2013-01-08,43.4354133605957
2013-01-09,43.4354133605957
2013-01-10,43.63520431518555
2013-01-11,43.64999008178711
2013-01-14,43.701812744140625
2013-01-15,43.575992584228516
2013-01-16,43.34661865234375
2013-01-17,43.63520431518555
2013-01-18,43.83498764038086
2013-01-22,44.33075714111328
2013-01-23,44.1309700012207
2013-01-24,44.286354064941406
2013-01-25,44.32335662841797
2013-01-28,44.42695999145508
2013-01-29,44.77473831176758
2013-01-30,44.737728118896484
2013-01-31,44.826534271240234
2013-02-01,45.063316345214844
2013-02-04,44.826534271240234
2013-02-05,44.989315032958984
2013-02-06,44.9005241394043
2013-02-07,45.018917083740234
2013-02-08,44.907928466796875
2013-02-11,45.18910598754883
2013-02-12,45.381492614746094
2013-02-13,45.32969665527344
2013-02-14,44.57494354248047
2013-02-15,44.61935043334961
2013-02-19,44.9967155456543
2013-02-20,44.9005241394043
2013-02-21,44.671138763427734
2013-02-22,45.070709228515625
2013-02-25,44.96712112426758
2013-02-26,44.65633773803711
2013-02-27,45.32230758666992
2013-02-28,45.49248504638672
2013-03-01,45.49989318847656
2013-03-04,45.93646240234375
2013-03-05,46.32863998413086
2013-03-06,46.1954460144043
2013-03-07,46.12145233154297
2013-03-08,46.15843963623047
2013-03-11,46.31383514404297
2013-03-12,46.165855407714844
2013-03-13,46.39523696899414
2013-03-14,46.42483139038086
2013-03-15,46.639617919921875
2013-03-18,46.490455627441406
2013-03-19,46.52775573730469
2013-03-20,46.7514762878418
2013-03-21,46.542667388916016
2013-03-22,46.65452575683594
2013-03-25,46.609779357910156
2013-03-26,46.93790054321289
2013-03-27,46.98265075683594
2013-03-28,47.64637756347656
2013-04-01,47.55689239501953
2013-04-02,47.713504791259766
2013-04-03,47.57926940917969
2013-04-04,48.07145690917969
2013-04-05,48.317562103271484
2013-04-08,48.6083984375
2013-04-09,48.63078689575195
2013-04-10,49.04839324951172
2013-04-11,49.23483657836914
2013-04-12,49.33926010131836
2013-04-15,48.78738784790039
2013-04-16,49.190101623535156
2013-04-17,48.929080963134766
2013-04-18,49.13788604736328
2013-04-19,49.51823425292969
2013-04-22,49.79415512084961
2013-04-23,49.988059997558594
2013-04-24,50.0626335144043
2013-04-25,50.301273345947266
2013-04-26,50.263980865478516
2013-04-29,50.62195587158203
2013-04-30,50.7934684753418
2013-05-01,50.263980865478516
2013-05-02,50.17448425292969
2013-05-03,50.2192268371582
2013-05-06,49.69721603393555
2013-05-07,49.995513916015625
2013-05-08,49.853824615478516
2013-05-09,48.96638107299805
2013-05-10,49.18263244628906
2013-05-13,48.929080963134766
2013-05-14,49.34670639038086
2013-05-15,49.809078216552734
2013-05-16,49.637542724609375
2013-05-17,49.644996643066406
2013-05-20,49.73450469970703
2013-05-21,49.809078216552734
2013-05-22,48.86195755004883
2013-05-23,48.66061019897461
2013-05-24,48.317562103271484
2013-05-28,47.83282470703125
2013-05-29,47.042320251464844
2013-05-30,47.325714111328125
2013-05-31,46.818599700927734
2013-06-03,46.79621887207031
2013-06-04,46.63216018676758
2013-06-05,46.23689651489258
2013-06-06,46.766380310058594
2013-06-07,47.07961654663086
2013-06-10,47.01994323730469
2013-06-11,46.81113052368164
2013-06-12,46.49791717529297
2013-06-13,47.176544189453125
2013-06-14,47.288414001464844
2013-06-17,47.24365997314453
2013-06-18,47.57926940917969
2013-06-19,46.47554016113281
2013-06-20,45.06605529785156
2013-06-21,45.674415588378906
2013-06-24,45.65931701660156
2013-06-25,46.20207214355469
2013-06-26,46.66945266723633
2013-06-27,46.89560317993164
2013-06-28,47.09913635253906
2013-07-01,46.48853302001953
2013-07-02,46.4583854675293
2013-07-03,46.428226470947266
2013-07-05,46.17947006225586
2013-07-08,46.865447998046875
2013-07-09,47.212215423583984
2013-07-10,47.43081283569336
2013-07-11,48.25251007080078
2013-07-12,48.17710876464844
2013-07-15,49.02893829345703
2013-07-16,48.810325622558594
2013-07-17,48.74248123168945
2013-07-18,49.22492218017578
2013-07-19,49.17217254638672
2013-07-22,49.25508499145508
2013-07-23,49.37569046020508
2013-07-24,48.56157302856445
2013-07-25,49.14200973510742
2013-07-26,48.94601058959961
2013-07-29,49.25508499145508
2013-07-30,49.420936584472656
2013-07-31,49.194766998291016
2013-08-01,49.533992767333984
2013-08-02,49.49631881713867
2013-08-05,49.31538391113281
2013-08-06,48.99125289916992
2013-08-07,49.202308654785156
2013-08-08,49.27769470214844
2013-08-09,48.91585922241211
2013-08-12,48.667091369628906
2013-08-13,48.39570999145508
2013-08-14,48.21480178833008
2013-08-15,47.60420608520508
2013-08-16,47.084068298339844
2013-08-19,46.6468391418457
2013-08-20,47.09160232543945
2013-08-21,46.61669921875
2013-08-22,46.90313720703125
2013-08-23,47.22728729248047
2013-08-26,47.00114059448242
2013-08-27,46.85791015625
2013-08-28,46.87298583984375
2013-08-29,46.74483108520508
2013-08-30,46.699615478515625
2013-09-03,46.224693298339844
2013-09-04,46.29252624511719
2013-09-05,46.05131530761719
2013-09-06,46.33024215698242
2013-09-09,46.57899856567383
2013-09-10,46.80513000488281
2013-09-11,46.496070861816406
2013-09-12,46.39053726196289
2013-09-13,46.65437316894531
2013-09-16,46.81266784667969
2013-09-17,47.02375411987305
2013-09-18,48.17710876464844
2013-09-19,48.064029693603516
2013-09-20,47.3851432800293
2013-09-23,47.955963134765625
2013-09-24,47.91029739379883
2013-09-25,47.613468170166016
2013-09-26,47.49930953979492
