Date,ICF
2013-01-02,29.209453582763672
2013-01-03,29.19106674194336
2013-01-04,29.31244659423828
2013-01-07,29.3529109954834
2013-01-08,29.297733306884766
2013-01-09,29.397052764892578
2013-01-10,29.437515258789062
2013-01-11,29.41544532775879
2013-01-14,29.48900032043457
2013-01-15,29.647174835205078
2013-01-16,29.573610305786133
2013-01-17,29.643508911132812
2013-01-18,29.801666259765625
2013-01-22,29.94512367248535
2013-01-23,29.95982551574707
2013-01-24,29.97455596923828
2013-01-25,30.198928833007812
2013-01-28,30.246734619140625
2013-01-29,30.272489547729492
2013-01-30,29.99294090270996
2013-01-31,29.720752716064453
2013-02-01,29.886260986328125
2013-02-04,29.786958694458008
2013-02-05,29.75752830505371
2013-02-06,29.809030532836914
2013-02-07,29.672929763793945
2013-02-08,29.93041229248047
2013-02-11,30.022371292114258
2013-02-12,30.246734619140625
2013-02-13,30.213638305664062
2013-02-14,30.051790237426758
2013-02-15,30.040754318237305
2013-02-19,30.29088592529297
2013-02-20,30.129030227661133
2013-02-21,29.886260986328125
2013-02-22,30.184192657470703
2013-02-25,29.58832550048828
2013-02-26,29.706045150756836
2013-02-27,29.886260986328125
2013-02-28,29.809030532836914
2013-03-01,29.926727294921875
2013-03-04,30.147430419921875
2013-03-05,30.37548065185547
2013-03-06,30.327661514282227
2013-03-07,30.129030227661133
2013-03-08,30.103294372558594
2013-03-11,30.176847457885742
2013-03-12,30.092254638671875
2013-03-13,30.110647201538086
2013-03-14,30.287214279174805
2013-03-15,30.265134811401367
2013-03-18,30.129030227661133
2013-03-19,29.94512367248535
2013-03-20,30.070178985595703
2013-03-21,29.948802947998047
2013-03-22,30.118000030517578
2013-03-25,30.128751754760742
2013-03-26,30.388071060180664
2013-03-27,30.399168014526367
2013-03-28,30.543643951416016
2013-04-01,30.65108299255371
2013-04-02,30.799251556396484
2013-04-03,30.721473693847656
2013-04-04,31.277145385742188
2013-04-05,31.369747161865234
2013-04-08,31.67352294921875
2013-04-09,31.692039489746094
2013-04-10,31.884687423706055
2013-04-11,32.06249237060547
2013-04-12,32.1365852355957
2013-04-15,31.53645133972168
2013-04-16,32.07361602783203
2013-04-17,31.71426010131836
2013-04-18,31.68463897705078
2013-04-19,32.166229248046875
2013-04-22,32.07361602783203
2013-04-23,32.24772262573242
2013-04-24,32.30329513549805
2013-04-25,32.166229248046875
2013-04-26,32.084712982177734
2013-04-29,32.351463317871094
2013-04-30,32.71819305419922
2013-05-01,32.54408264160156
2013-05-02,32.71448516845703
2013-05-03,32.77005386352539
2013-05-06,32.91453170776367
2013-05-07,33.0553092956543
2013-05-08,32.98121643066406
2013-05-09,32.78858184814453
2013-05-10,32.9367561340332
2013-05-13,33.081233978271484
2013-05-14,33.21459197998047
2013-05-15,33.473915100097656
2013-05-16,33.33314895629883
2013-05-17,33.514671325683594
2013-05-20,33.60355758666992
2013-05-21,33.81473159790039
2013-05-22,32.9589729309082
2013-05-23,32.358856201171875
2013-05-24,32.30329513549805
2013-05-28,31.940248489379883
2013-05-29,31.340110778808594
2013-05-30,31.017826080322266
2013-05-31,30.59549903869629
2013-06-03,30.758512496948242
2013-06-04,30.35101890563965
2013-06-05,30.09170150756836
2013-06-06,30.614032745361328
2013-06-07,30.576980590820312
2013-06-10,30.317663192749023
2013-06-11,29.847192764282227
2013-06-12,29.480449676513672
2013-06-13,30.325088500976562
2013-06-14,30.421405792236328
2013-06-17,30.49178695678711
2013-06-18,30.536239624023438
2013-06-19,29.558246612548828
2013-06-20,28.29871940612793
2013-06-21,28.817354202270508
2013-06-24,28.743257522583008
2013-06-25,29.22484016418457
2013-06-26,29.658275604248047
2013-06-27,30.2420597076416
2013-06-28,30.092750549316406
2013-07-01,29.921056747436523
2013-07-02,30.398822784423828
2013-07-03,30.130077362060547
2013-07-05,30.036767959594727
2013-07-08,30.08902359008789
2013-07-09,30.533205032348633
2013-07-10,30.499616622924805
2013-07-11,31.328269958496094
2013-07-12,31.108041763305664
2013-07-15,31.242414474487305
2013-07-16,31.23868179321289
2013-07-17,31.402925491333008
2013-07-18,31.671667098999023
2013-07-19,31.56341552734375
2013-07-22,31.690351486206055
2013-07-23,31.653011322021484
2013-07-24,30.96992301940918
2013-07-25,30.988601684570312
2013-07-26,31.01099967956543
2013-07-29,30.76463508605957
2013-07-30,30.66012191772461
2013-07-31,30.167402267456055
2013-08-01,30.051694869995117
2013-08-02,29.943452835083008
2013-08-05,29.88372039794922
2013-08-06,29.7904052734375
2013-08-07,29.697086334228516
2013-08-08,29.678430557250977
2013-08-09,29.92477798461914
2013-08-12,29.652299880981445
2013-08-13,29.23050308227539
2013-08-14,29.103595733642578
2013-08-15,28.547426223754883
2013-08-16,27.853160858154297
2013-08-19,27.539609909057617
2013-08-20,28.174163818359375
2013-08-21,28.129377365112305
2013-08-22,28.282405853271484
2013-08-23,28.577287673950195
2013-08-26,28.4989070892334
2013-08-27,28.405595779418945
2013-08-28,28.29361343383789
2013-08-29,28.289873123168945
2013-08-30,28.15177345275879
2013-09-03,27.90540313720703
2013-09-04,28.09577751159668
2013-09-05,27.78597640991211
2013-09-06,28.286151885986328
2013-09-09,28.88337516784668
2013-09-10,28.85723304748535
2013-09-11,29.066274642944336
2013-09-12,28.82737922668457
2013-09-13,28.902048110961914
2013-09-16,29.271570205688477
2013-09-17,29.249170303344727
2013-09-18,30.32418441772461
2013-09-19,30.234590530395508
2013-09-20,29.64856719970703
2013-09-23,29.446998596191406
2013-09-24,29.19377899169922
2013-09-25,29.23892593383789
2013-09-26,29.430822372436523
