Date,VPU
2013-01-02,55.466670989990234
2013-01-03,55.40890884399414
2013-01-04,55.71949005126953
2013-01-07,55.076622009277344
2013-01-08,54.98995590209961
2013-01-09,54.85991287231445
2013-01-10,55.10552215576172
2013-01-11,55.2138786315918
2013-01-14,55.14162826538086
2013-01-15,55.322200775146484
2013-01-16,54.98995590209961
2013-01-17,55.307762145996094
2013-01-18,55.71949005126953
2013-01-22,56.27566146850586
2013-01-23,56.080650329589844
2013-01-24,56.34789276123047
2013-01-25,56.57903289794922
2013-01-28,56.51404571533203
2013-01-29,57.01966094970703
2013-01-30,57.03410339355469
2013-01-31,57.21467590332031
2013-02-01,57.402488708496094
2013-02-04,57.012447357177734
2013-02-05,57.15689468383789
2013-02-06,57.30857467651367
2013-02-07,57.44581985473633
2013-02-08,57.47471237182617
2013-02-11,57.59752655029297
2013-02-12,57.850318908691406
2013-02-13,57.82863998413086
2013-02-14,57.42415237426758
2013-02-15,57.54693603515625
2013-02-19,58.09591293334961
2013-02-20,57.893680572509766
2013-02-21,57.64085388183594
2013-02-22,58.2403678894043
2013-02-25,57.58306121826172
2013-02-26,57.80699920654297
2013-02-27,58.37760925292969
2013-02-28,58.53651809692383
2013-03-01,58.702640533447266
2013-03-04,59.22993469238281
2013-03-05,59.598331451416016
2013-03-06,59.54054260253906
2013-03-07,59.35272979736328
2013-03-08,59.51884841918945
2013-03-11,59.7066764831543
2013-03-12,59.489994049072266
2013-03-13,59.73555374145508
2013-03-14,59.85835647583008
2013-03-15,60.27730178833008
2013-03-18,59.9161491394043
2013-03-19,60.038944244384766
2013-03-20,60.52289581298828
2013-03-21,60.255638122558594
2013-03-22,60.309566497802734
2013-03-25,60.20026779174805
2013-03-26,60.81231689453125
2013-03-27,61.04548645019531
2013-03-28,61.75226593017578
2013-04-01,61.58466720581055
2013-04-02,61.8324089050293
2013-04-03,61.555545806884766
2013-04-04,62.12388229370117
2013-04-05,62.38618087768555
2013-04-08,62.90351486206055
2013-04-09,62.68491744995117
2013-04-10,63.18770217895508
2013-04-11,63.384403228759766
2013-04-12,63.588443756103516
2013-04-15,62.52460861206055
2013-04-16,63.31155014038086
2013-04-17,62.93994140625
2013-04-18,63.136661529541016
2013-04-19,64.04747772216797
2013-04-22,64.03290557861328
2013-04-23,64.19320678710938
2013-04-24,64.33893585205078
2013-04-25,64.46279907226562
2013-04-26,64.43364715576172
2013-04-29,64.96556854248047
2013-04-30,65.23515319824219
2013-05-01,64.54295349121094
2013-05-02,64.48468017578125
2013-05-03,64.44097137451172
2013-05-06,63.632144927978516
2013-05-07,64.25878143310547
2013-05-08,63.734161376953125
2013-05-09,62.728641510009766
2013-05-10,62.92536544799805
2013-05-13,62.67036819458008
2013-05-14,63.09294509887695
2013-05-15,63.70500564575195
2013-05-16,63.23139572143555
2013-05-17,63.84346008300781
2013-05-20,63.602996826171875
2013-05-21,63.65400695800781
2013-05-22,62.56832504272461
2013-05-23,62.10200881958008
2013-05-24,61.48994445800781
2013-05-28,60.91432571411133
2013-05-29,59.981651306152344
2013-05-30,60.28044128417969
2013-05-31,59.88694381713867
2013-06-03,60.025360107421875
2013-06-04,59.71935272216797
2013-06-05,59.2311897277832
2013-06-06,59.93065643310547
2013-06-07,60.38968276977539
2013-06-10,60.309566497802734
2013-06-11,59.93793869018555
2013-06-12,59.28944396972656
2013-06-13,60.27311325073242
2013-06-14,60.346012115478516
2013-06-17,60.55729675292969
2013-06-18,61.00906753540039
2013-06-19,59.64650344848633
2013-06-20,58.043487548828125
2013-06-21,58.662818908691406
2013-06-24,58.58482360839844
2013-06-25,59.29856872558594
2013-06-26,60.049068450927734
2013-06-27,60.21095657348633
2013-06-28,60.475852966308594
2013-07-01,59.67380142211914
2013-07-02,59.65911102294922
2013-07-03,59.563446044921875
2013-07-05,59.394203186035156
2013-07-08,60.23304748535156
2013-07-09,60.726016998291016
2013-07-10,61.04977798461914
2013-07-11,61.97688674926758
2013-07-12,62.12404251098633
2013-07-15,63.18360137939453
2013-07-16,62.82305145263672
2013-07-17,62.78627395629883
2013-07-18,63.382286071777344
2013-07-19,63.34549331665039
2013-07-22,63.33814239501953
2013-07-23,63.50736999511719
2013-07-24,62.53609848022461
2013-07-25,63.06587219238281
2013-07-26,63.26456069946289
2013-07-29,63.30868148803711
2013-07-30,63.51473617553711
2013-07-31,63.1541748046875
2013-08-01,63.742835998535156
2013-08-02,63.66923904418945
2013-08-05,63.28664779663086
2013-08-06,62.88192367553711
2013-08-07,63.16153335571289
2013-08-08,63.33814239501953
2013-08-09,62.96288299560547
2013-08-12,62.6685676574707
2013-08-13,62.29330062866211
2013-08-14,61.88859176635742
2013-08-15,60.998268127441406
2013-08-16,60.35075759887695
2013-08-19,59.87247848510742
2013-08-20,60.380191802978516
2013-08-21,59.74740982055664
2013-08-22,60.07115936279297
2013-08-23,60.527347564697266
2013-08-26,60.063804626464844
2013-08-27,60.03436279296875
2013-08-28,60.24774169921875
2013-08-29,59.96813201904297
2013-08-30,59.791542053222656
2013-09-03,59.12196731567383
2013-09-04,59.14404296875
2013-09-05,58.908573150634766
2013-09-06,59.158775329589844
2013-09-09,59.44572830200195
2013-09-10,59.93135452270508
2013-09-11,59.40155792236328
2013-09-12,59.232330322265625
2013-09-13,59.651763916015625
2013-09-16,59.71796798706055
2013-09-17,60.07850646972656
2013-09-18,61.85181427001953
2013-09-19,61.594261169433594
2013-09-20,60.79959487915039
2013-09-23,61.52773666381836
2013-09-24,61.505462646484375
2013-09-25,61.07451629638672
2013-09-26,61.10424041748047
